body.mass, if.basal.spp, D_Max_i, Nutr.halfsat.dens1, Nurt.halfsat.dens2
1.62693571, 1, 0.33980232, 0.123721836, 0.186161418
10.1855442, 1, 0.36666574, 0.152469148, 0.12316972
12.1616895, 1, 0.115877869, 0.131819805, 0.140221841
14.4849271, 1, 0.000809309818, 0.176479318, 0.162437507
31.5522743, 1, 0.0202796639, 0.126295861, 0.11430367
40.0756921, 1, 0.388532675, 0.168434154, 0.112279849
40.1830237, 1, 0.399851301, 0.146973522, 0.141682991
72.2920139, 1, 0.355619272, 0.158498578, 0.155688298
187.66969, 1, 0.143618105, 0.161287884, 0.194141917
340.926259, 1, 0.279795441, 0.182311269, 0.140925903
355.617958, 1, 0.196416911, 0.116388449, 0.173675145
649.753029, 1, 0.039009867, 0.163688524, 0.199545067
272.752897, 0, 0.265367944, 0, 0
566.292794, 0, 0.275240313, 0, 0
814.203608, 0, 0.280282926, 0, 0
1675.13705, 0, 0.290577852, 0, 0
2395.36071, 0, 0.295820684, 0, 0
2429.78617, 0, 0.296031819, 0, 0
2454.33515, 0, 0.296180652, 0, 0
6605.35159, 0, 0.311210892, 0, 0
8792.80582, 0, 0.315694027, 0, 0
11199.7387, 0, 0.319536435, 0, 0
17771.9949, 0, 0.326999283, 0, 0
28746.8668, 0, 0.334957354, 0, 0
33471.8031, 0, 0.337515675, 0, 0
37059.7001, 0, 0.339238463, 0, 0
52596.3299, 0, 0.345229392, 0, 0
169385.875, 0, 0.366019186, 0, 0
235027.236, 0, 0.372062501, 0, 0
375204.989, 0, 0.380867067, 0, 0
479896.759, 0, 0.38558256, 0, 0
548835.089, 0, 0.388179043, 0, 0
588441.669, 0, 0.389533813, 0, 0
609455, 0, 0.390217798, 0, 0
651209.197, 0, 0.391512847, 0, 0
761570.707, 0, 0.39458948, 0, 0
