patch, X.Koord, Y.Koord, Area
0, 0.052280129, 0.140548489, 8900000
1, 0.120878685, 0.450540286, 7400000
2, 0.00156596734, 0.580080022, 9900000
3, 0.529359279, 0.114838341, 300000
4, 0.224600158, 0.0843094802, 5900000
5, 0.124377077, 0.79161472, 7300000
6, 0.373027892, 0.117243464, 1900000
7, 0.106214197, 0.231913026, 7800000
8, 0.0834412448, 0.654381189, 7900000
9, 0.0368109752, 0.624294801, 9300000
10, 0.232756681, 0.323106093, 5200000
11, 0.0377647641, 0.314883173, 9300000
12, 0.0450046999, 0.218791545, 9000000
13, 0.272368904, 0.475713711, 3500000
14, 0.326660034, 0.224794628, 2000000
15, 0.138610936, 0.261657718, 7200000
16, 0.322907612, 0.562708041, 2100000
17, 0.254092752, 0.114154125, 4300000
18, 0.48595526, 0.353049533, 1000000
19, 0.0425589013, 0.0275183386, 9000000
20, 0.36420326, 0.538773082, 1900000
21, 0.274476703, 0.255520838, 3200000
22, 0.0654281896, 0.0329292652, 8600000
23, 0.29829093, 0.139375877, 2300000
24, 0.185087155, 0.355704407, 6800000
25, 0.106797577, 0.543839266, 7600000
26, 0.23814831, 0.0190103334, 4900000
27, 0.245853548, 0.202497464, 4700000
28, 0.194566922, 0.112777359, 6700000
29, 0.273810797, 0.479063687, 3200000
30, 0.259007195, 0.00572584756, 4200000
31, 0.617718241, 0.651251385, 200000
32, 0.0826850033, 0.141404655, 8200000
33, 0.0146257525, 0.0965280291, 9800000
34, 0.080847458, 0.131313959, 8300000
35, 0.578229639, 0.48605777, 200000
36, 0.54805564, 0.137923865, 300000
37, 0.426288157, 0.000265949552, 1200000
38, 0.0316992428, 0.149147929, 9500000
39, 0.21289229, 0.00511925008, 6400000
40, 0.484889741, 0.236896356, 1100000
41, 0.41158079, 0.251671944, 1600000
42, 0.13709769, 0.137680866, 7300000
43, 0.378954224, 0.28112625, 1700000
44, 0.43536857, 0.340117136, 1100000
45, 0.0584859416, 0.387543517, 8600000
46, 0.0555400367, 0.58809631, 8700000
47, 0.239064736, 0.29835267, 4900000
48, 0.428079238, 0.147679035, 1200000
49, 0.491058053, 0.113887743, 700000
