patch, X.Koord, Y.Koord, Area
0, 0.354819791, 0.0472734698, 2800000
1, 0.00566825997, 0.211943517, 8900000
2, 0.295534136, 0.213977892, 5800000
3, 0.0656245133, 0.181092239, 6300000
4, 0.13363743, 0.0140646909, 2000000
5, 0.732010592, 0.10029883, 4600000
6, 0.088080347, 0.0249882715, 6800000
7, 0.346702769, 0.282369015, 2600000
8, 0.303190247, 0.17901857, 2400000
9, 0.290504015, 0.241552336, 7600000
10, 0.411750385, 0.487000607, 9500000
11, 0.580824598, 0.00592866686, 1900000
12, 0.501497698, 0.0810604916, 5700000
13, 0.415106464, 0.0249598637, 9900000
14, 0.0582086955, 0.0293283902, 8200000
15, 0.516985782, 0.0732942643, 1800000
16, 0.258156494, 0.318162083, 1200000
17, 0.224674432, 0.0841961886, 7800000
18, 0.159625955, 0.531860452, 7900000
19, 0.109888794, 0.164864403, 6600000
20, 0.180935165, 0.562666071, 7400000
21, 0.40608736, 0.264406536, 2700000
22, 0.10243817, 0.0442690522, 5200000
23, 0.198431428, 0.0434453588, 8600000
24, 0.073589589, 0.0490798076, 7000000
25, 0.0792064472, 0.194450078, 3800000
26, 0.121380214, 0.370408416, 8500000
27, 0.10284726, 0.237843161, 500000
28, 0.0314009514, 0.363540072, 9600000
29, 0.375364792, 0.313023233, 8600000
30, 0.187484611, 0.0692499297, 4800000
31, 0.513286841, 0.140023286, 9300000
32, 0.207915484, 0.381477407, 8700000
33, 0.00164339886, 0.0759932489, 5900000
34, 0.0716691683, 0.176564673, 400000
35, 0.0762261869, 0.127980927, 9600000
36, 0.307987208, 0.0976007855, 4800000
37, 0.00599982967, 0.0937590339, 9000000
38, 0.229724264, 0.0813758767, 400000
39, 0.13872137, 0.0258334551, 2800000
40, 0.137951411, 0.106621383, 8200000
41, 0.0112193362, 0.437368682, 9600000
42, 0.712255287, 0.456813301, 7800000
43, 0.226929327, 0.114616933, 3200000
44, 0.0729167804, 0.0457459861, 6500000
45, 0.170248615, 0.681376374, 7200000
46, 0.232031035, 0.426567986, 9100000
47, 0.0206386671, 0.129259057, 9000000
48, 0.284430989, 0.223733221, 100000
49, 0.182874536, 0.0819206741, 7900000
