patch, X.Koord, Y.Koord, Area
0, 0.0921290035, 0.398504938, 7500000
1, 0.642525108, 0.599035485, 5300000
2, 0.132045804, 0.999416821, 5400000
3, 0.360691538, 0.914318592, 2900000
4, 0.87255744, 0.443155635, 1200000
5, 0.903440408, 0.485268383, 3100000
6, 0.242773388, 0.46497821, 900000
7, 0.0346488161, 0.818588361, 4500000
8, 0.394956036, 0.400162204, 6100000
9, 0.970705868, 0.500041695, 7100000
10, 0.679109047, 0.183985381, 5600000
11, 0.817707678, 0.550982066, 7700000
12, 0.842417551, 0.0255273257, 1400000
13, 0.110900437, 0.724690151, 2700000
14, 0.837735482, 0.776765355, 300000
15, 0.829045652, 0.310995453, 5700000
16, 0.263353472, 0.765612679, 7300000
17, 0.361571619, 0.39461421, 6800000
18, 0.311069899, 0.29171739, 3800000
19, 0.107875388, 0.85025535, 8800000
20, 0.0035416889, 0.790012063, 1600000
21, 0.749682575, 0.73792292, 7700000
22, 0.656930181, 0.167749409, 1500000
23, 0.240324432, 0.165524511, 400000
24, 0.448703262, 0.0620619792, 8600000
25, 0.743668506, 0.480947726, 6900000
26, 0.15263633, 0.945816864, 200000
27, 0.728618964, 0.589039177, 4900000
28, 0.847718789, 0.0446561091, 9500000
29, 0.129372108, 0.974247906, 900000
30, 0.839236354, 0.399245622, 8100000
31, 0.25854285, 0.0364636723, 9600000
32, 0.618243333, 0.406980587, 1900000
33, 0.223038819, 0.863565551, 9100000
34, 0.214380249, 0.321317311, 400000
35, 0.772593457, 0.191503089, 9600000
36, 0.427099054, 0.00282966578, 9500000
37, 0.184437189, 0.938923484, 3600000
38, 0.702368096, 0.210115051, 9100000
39, 0.403657356, 0.499376213, 9900000
40, 0.487719118, 0.657946736, 9200000
41, 0.209282687, 0.52253828, 9200000
42, 0.777180892, 0.651288696, 1700000
43, 0.894750349, 0.116805637, 2300000
44, 0.789100315, 0.329460773, 4600000
45, 0.541397609, 0.182153767, 100000
46, 0.297415898, 0.586403581, 1400000
47, 0.235552437, 0.671331664, 3000000
48, 0.151921708, 0.301301965, 7300000
49, 0.44817885, 0.314593206, 4900000
