patch, X.Koord, Y.Koord, Area
0, 0.821327066, 0.825050974, 4000000
1, 0.769430284, 0.978343583, 300000
2, 0.908882177, 0.919703515, 9400000
3, 0.655974312, 0.868253232, 8500000
4, 0.728920933, 0.674858801, 7400000
5, 0.627236904, 0.906752758, 9800000
6, 0.777439043, 0.822628938, 1200000
7, 0.743306053, 0.913131473, 6000000
8, 0.650462398, 0.7627593, 3300000
9, 0.779246451, 0.76114673, 6400000
10, 0.811782698, 0.392308451, 2900000
11, 0.947260694, 0.360552495, 7400000
12, 0.845996881, 0.392422012, 7000000
13, 0.841451687, 0.309757479, 6600000
14, 0.930108492, 0.452386433, 8200000
15, 0.786576175, 0.482549432, 3000000
16, 0.672821225, 0.353201698, 5600000
17, 0.790720656, 0.420033893, 2100000
18, 0.813110718, 0.395542841, 6300000
19, 0.876196348, 0.424402204, 3600000
20, 0.536396546, 0.0244698877, 5700000
21, 0.543225519, 0.188303371, 8500000
22, 0.634785343, 0.108382226, 6400000
23, 0.539290502, 0.121880424, 2600000
24, 0.534425608, 0.124676849, 9900000
25, 0.517567232, 0.0541415964, 4300000
26, 0.57162433, 0.279512996, 300000
27, 0.423376037, 0.170334766, 7600000
28, 0.404873176, 0.0921422388, 9100000
29, 0.460536874, 0.033022724, 6700000
30, 0.325117954, 0.428380776, 8800000
31, 0.4254573, 0.242535104, 200000
32, 0.417041459, 0.3751769, 8600000
33, 0.391930008, 0.372953529, 1900000
34, 0.363351228, 0.265404156, 2500000
35, 0.260115341, 0.302414528, 5100000
36, 0.279313936, 0.0858804361, 4400000
37, 0.421850505, 0.300192849, 2100000
38, 0.179945762, 0.375726512, 6600000
39, 0.255628934, 0.346262435, 800000
40, 0.967028114, 0.905445013, 2000000
41, 0.845779474, 0.831541463, 5600000
42, 0.813458099, 0.845980766, 2000000
43, 0.905635054, 0.821034598, 7900000
44, 0.987661356, 0.963145348, 2700000
45, 0.884668537, 0.885521132, 5300000
46, 0.775584109, 0.799326449, 2900000
47, 0.812840411, 0.851105763, 8700000
48, 0.797493552, 0.892221602, 6900000
49, 0.860303299, 0.863906046, 9100000
